OBJECTID,Name,F2005_06,F2006_07,F2007_08,F2008_09,F2009_10,F2010_11,F2011_12,F2012_13,F2013_14,F2014_15,F2015_16,F2016_17,F2017_18,F2018_19,Shape__Area,Shape__Length
1,Alexandria,1769936.578378,1780298.098313,1600223.328767,1404801.580553,1426838.572589,1427835.89453,1481881.230525,1564924.704066,1607670.306253,1683292.435284,1749240.2514,1859053.478828,2010558.3706,1988832.1759,5129711.87109375,12267.960848811
2,Forest Lodge + Annandale,154172.362481,155074.914534,153413.253577,157687.546134,164767.828795,158222.25756,165487.297128,162344.395156,205185.21847,214016.240464,264071.42278,325387.539528,365762.71563,1062233.19693,793947.80859375,6817.41638311832
3,Millers Point + Barangaroo,105060.193051,105675.233872,123678.699957,111104.635812,106179.195155,107317.2245,103952.64875,102760.968121,101823.441692,99638.864408,117818.86058,300806.7103,417960.98675,653759.84707,673931.1015625,4760.14713430857
4,Beaconsfield,57979.07517,58318.494851,56734.792499,57226.259012,59054.69281,63057.74361,61648.621529,60126.288562,64389.718701,62315.302328,66548.72628,66924.155559,82338.85519,83577.895903,243806.75390625,2313.91942867052
5,Camperdown,931129.623324,936580.619522,913395.14434,1004014.784327,1079223.809808,1066530.34947,1091967.459587,1142514.942517,1220602.577413,1265812.698495,1407364.0621,1345488.550817,1391648.6622,1698049.9182,1561043.12890625,6036.70001199251
6,Centennial Park,194070.692043,195206.815937,195015.778799,172377.76949,177426.419854,176210.28278,175787.316389,185626.036168,198563.46685,204371.536759,221061.08459,200560.408098,196523.220446,185961.099123,377707.37109375,4744.91502799721
7,Chippendale,516041.773727,519062.772835,498781.36366,497012.666437,525753.570485,552319.34776,547681.246241,587076.597711,714672.667542,790775.052221,806921.3856,820404.209952,821209.4152,843656.95013,669425.015625,3814.85922265722
8,Darlinghurst,1624351.757327,1633860.997616,1495761.97657,1540860.217398,1584774.000567,1537983.26378,1538616.245315,1539963.535936,1545593.811321,1527120.018929,1520551.5496,1526247.074897,1542776.8256,1456374.4182,1258153.6875,5875.26401055071
9,Darlington,101839.275289,102435.460291,95779.981288,91975.281051,95968.602314,109472.70597,113283.922448,119267.955754,104494.258881,116839.395524,157619.98538,172921.585362,156131.5005,183146.64976,557113.640625,3462.22476073284
10,Dawes Point,15115.685298,15204.17517,13169.5371,13868.68655,19727.35666,35367.56232,35148.90949,33705.972861,43367.150411,38638.488672,35456.80492,42890.259058,38565.284924,46382.882867,201392.8203125,3690.51097747668
11,Elizabeth Bay,462722.282627,465431.140128,435227.07612,455151.920025,461532.588846,459820.43296,465096.845937,466127.741123,467320.726402,450444.975664,446247.73056,445939.557862,452853.91756,454625.86021,361135.67578125,3330.45130733701
12,Erskineville,359731.417934,361837.348851,358229.925996,365092.985377,385712.90157,443755.34621,425930.673508,423444.567598,419457.731178,447018.526864,464836.01437,491404.065058,516360.11715,550680.22155,1181770.890625,5276.48794734363
13,Eveleigh,24418.118309,24561.06626,24919.884969,26352.939061,26029.53639,23980.44072,88214.803674,49809.052901,52957.01957,60877.259298,87612.87721,93695.564848,104322.61635,99953.154133,800970.28515625,5051.49614602787
14,Glebe,1296071.14601,1303658.574031,1161608.768102,1152759.645816,1207813.702189,1236406.27677,1205464.516498,1210492.567448,1226644.736697,1207743.052198,1195268.5631,1210534.931234,1309290.0979,1202725.8385,2443264.90234375,8777.02782883372
15,Haymarket,501451.715296,504387.30162,471619.656501,496896.953887,545469.343189,601412.81069,581859.832568,658785.473238,702874.79716,726814.076946,712471.4372,820572.65575,820700.5135,819537.79743,759982.69921875,3817.57064766729
16,Waterloo + Moore Park,1322175.694586,1329915.943278,1312999.657226,1375351.599404,1442975.824923,1507790.52484,1578703.132014,1645669.463741,1811608.751057,1786460.59722,1839169.513,1937130.390755,1965482.6971,1670135.21533,4345076.421875,11650.7277432849
17,Newtown + St Peters,714317.53899,718499.279357,692711.362604,715950.375991,773805.128564,792563.05688,847830.085523,806240.828543,778008.536272,790854.827336,785682.3945,823237.151473,827618.246,0,1427271.05859375,8815.39481961344
18,Paddington,381402.291502,383635.087534,352165.183483,354244.767142,351482.517595,357654.8314,368243.564097,390503.869234,385834.949377,379457.524046,396085.5329,398780.606685,279092.3244,1113985.34723,670564.52734375,4341.78059371523
19,Potts Point,978468.977697,984197.106902,873082.438103,882111.93411,897307.26235,896954.48052,898011.430495,927476.088325,931244.355908,918201.842994,897966.3331,1097851.465648,890286.7427,864090.54817,870985.51171875,6898.16804439589
20,Pyrmont,2002889.138867,2014614.403822,2044233.583262,2151067.096151,2274575.900174,2378381.98739,2389473.426498,2482151.776541,2581066.394988,2595149.449559,2663742.813,2752283.834174,2780537.527,2709497.8823,1394581.9921875,8623.0702963721
21,Redfern,1216073.254402,1223192.360821,1164625.939245,1177285.299284,1240761.739002,1294309.11706,1266256.064997,1297029.122357,1319686.09342,1285201.095718,1264561.3011,1278116.164562,1291823.041,1228109.10997,1683007.42578125,6569.80608547412
22,Rosebery,653529.228001,657355.102933,605252.153036,639406.425012,710230.965298,702164.8416,668942.457723,685901.791021,723837.603496,780813.738546,845553.2693,930733.029707,1001572.4168,1324247.96377,2114294.10546875,6662.37419241855
23,Rushcutters Bay,226853.097842,228181.135686,214017.237471,205462.249934,227090.92756,216652.57554,225140.695873,218228.304671,221630.619694,227441.542742,232919.25051,219481.18605,220363.01374,215546.94742,220619.00390625,2453.16939000661
24,Surry Hills,1917505.434759,1928730.847849,1853843.002681,1838929.849856,1905542.380744,1976825.69711,1956897.768095,1974979.059413,2003033.284108,2055161.089134,2163057.6088,2095741.893338,2019548.148,1972133.7307,1929654.57421875,6421.58803481296
25,Sydney,13370604.318131,13448878.185726,12598256.453298,12268120.484134,12645228.268148,12594830.25452,12286261.180806,12374561.654015,12521264.715475,12491794.639713,12684670.043,12707154.569103,12488512.821,12168643.5337,4251639.6875,15013.9248546373
26,The Rocks,554146.005492,557390.073541,512363.542082,509413.459599,518229.626766,509087.17721,500268.8716,523817.946933,550549.933006,567840.481568,553752.1802,556841.946768,542439.7875,523352.4843,309162.6796875,3549.52752851417
27,Ultimo,1190631.145899,1197601.309701,1163669.785081,1222161.582153,1288584.652524,1249676.60727,1304434.850096,1326471.559095,1365742.487103,1409059.257839,1434678.664,1453216.67911,1441313.4084,1346673.1988,814079.0625,4006.05560973898
28,Woolloomooloo,808033.108892,812763.476562,753957.137798,758874.540445,857013.843447,811461.16802,825323.952342,865027.356607,822288.367877,925315.296573,894790.9201,909818.808418,916463.8117,908200.9833,598702.89453125,5148.99975728262
29,Zetland,261279.066869,262808.640422,230702.3646,253327.951409,274742.70143,300291.94438,333917.832359,413340.450553,569530.993665,847947.170981,936689.7538,973143.940124,1084629.9649,1112191.52573,1165676.62109375,4386.32920864548
